qseqid,sseqid,log2FoldChange,lfcSE,padj,description,external_gene_name
104414235,AT3G28040,-1.436141206,0.317865675,8.77E-05,Leucine-rich receptor-like protein kinase family protein [Source:NCBI gene (formerly Entrezgene);Acc:822428],AT3G28040
104414246,AT3G23890,-1.970746007,0.370257561,2.33E-06,topoisomerase II [Source:NCBI gene (formerly Entrezgene);Acc:821972],TOPII
104414249,AT3G23740,-1.591937718,0.541150883,0.017853681,,AT3G23740
104414251,AT4G15550,1.34344834,0.514100676,0.040246685,indole-3-acetate beta-D-glucosyltransferase [Source:NCBI gene (formerly Entrezgene);Acc:827229],IAGLU
104414252,AT4G15550,5.443889499,0.822683931,1.90E-09,indole-3-acetate beta-D-glucosyltransferase [Source:NCBI gene (formerly Entrezgene);Acc:827229],IAGLU
104414255,AT4G15550,1.020549682,0.230746593,0.000129612,indole-3-acetate beta-D-glucosyltransferase [Source:NCBI gene (formerly Entrezgene);Acc:827229],IAGLU
104414279,AT3G23805,-1.388364152,0.242503905,3.02E-07,ralf-like 24 [Source:NCBI gene (formerly Entrezgene);Acc:821963],RALFL24
104414282,AT4G13930,-1.3388136,0.245820008,1.28E-06,serine hydroxymethyltransferase 4 [Source:NCBI gene (formerly Entrezgene);Acc:827027],SHM4
104414294,AT1G03670,1.010024615,0.290777821,0.003846767,ankyrin repeat family protein [Source:NCBI gene (formerly Entrezgene);Acc:839438],AT1G03670
104414303,AT3G16210,1.589310871,0.216170208,1.68E-11,F-box family protein [Source:NCBI gene (formerly Entrezgene);Acc:820867],AT3G16210
104414311,AT3G23890,-1.600197238,0.331097118,2.26E-05,topoisomerase II [Source:NCBI gene (formerly Entrezgene);Acc:821972],TOPII
104414336,AT3G24130,-2.215757946,0.7519584,0.017638965,Pectin lyase-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:821999],AT3G24130
104414362,AT5G13930,-1.032217319,0.302808984,0.004711256,Chalcone and stilbene synthase family protein [Source:NCBI gene (formerly Entrezgene);Acc:831241],TT4
104414371,AT4G23160,-1.349203832,0.316014178,0.000238272,cysteine-rich RECEPTOR-like kinase [Source:NCBI gene (formerly Entrezgene);Acc:828415],CRK8
104414381,AT1G61810,-2.343140616,0.472156156,1.28E-05,beta-glucosidase 45 [Source:NCBI gene (formerly Entrezgene);Acc:842478],BGLU45
104414384,AT1G04680,-2.994291722,0.462920121,4.70E-09,Pectin lyase-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:839452],AT1G04680
104414394,AT4G13550,1.036707152,0.236553126,0.000151828,putative triglyceride lipase [Source:NCBI gene (formerly Entrezgene);Acc:826988],AT4G13550
104414409,AT3G24310,3.914311233,1.503092887,0.041081026,myb domain protein 305 [Source:NCBI gene (formerly Entrezgene);Acc:822019],MYB305
104414437,AT1G04040,-1.986230584,0.30725078,4.79E-09,"HAD superfamily, subfamily IIIB acid phosphatase [Source:NCBI gene (formerly Entrezgene);Acc:839325]",AT1G04040
104414444,AT3G23470,-3.108633089,1.135905048,0.029934508,Cyclopropane-fatty-acyl-phospholipid synthase [Source:NCBI gene (formerly Entrezgene);Acc:821928],AT3G23470
104414468,AT3G23410,-1.459949291,0.202513965,4.39E-11,fatty alcohol oxidase 3 [Source:NCBI gene (formerly Entrezgene);Acc:821922],FAO3
104414469,AT4G14310,-1.759707563,0.204648807,1.81E-15,Transducin/WD40 repeat-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:827072],AT4G14310
104414470,AT4G14330,-1.885669887,0.256813776,1.79E-11,P-loop containing nucleoside triphosphate hydrolases superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:827075],AT4G14330
104414524,AT5G43420,-1.248882849,0.234897126,2.40E-06,RING/U-box superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:834362],AT5G43420
104414525,AT5G13670,-2.532878843,0.472848285,1.98E-06,nodulin MtN21 /EamA-like transporter family protein [Source:NCBI gene (formerly Entrezgene);Acc:831212],UMAMIT15
104414532,AT1G06650,1.167039337,0.26637147,0.000152532,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:837175],AT1G06650
104414536,AT1G06640,1.379847689,0.37773733,0.00217737,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:837173],AT1G06640
104414569,AT3G23090,-1.375042634,0.187333322,1.81E-11,TPX2 (targeting protein for Xklp2) protein family [Source:NCBI gene (formerly Entrezgene);Acc:821884],AT3G23090
104414577,AT3G01680,-1.292251189,0.366559326,0.003272252,sieve element occlusion amino-terminus protein [Source:NCBI gene (formerly Entrezgene);Acc:821097],SEOR1
104414594,AT3G10310,-1.785772171,0.357767801,1.12E-05,P-loop nucleoside triphosphate hydrolases superfamily protein with CH (Calponin Homology) domain-containing protein [Source:NCBI gene (formerly Entrezgene);Acc:820193],AT3G10310
104414650,AT1G09160,-1.249977731,0.173017756,3.96E-11,Protein phosphatase 2C family protein [Source:NCBI gene (formerly Entrezgene);Acc:837436],AT1G09160
104414653,AT5G27000,-1.745449956,0.323259012,1.61E-06,kinesin 4 [Source:NCBI gene (formerly Entrezgene);Acc:832758],ATK4
104414665,AT1G09210,-1.529699075,0.223802642,5.13E-10,calreticulin 1b [Source:NCBI gene (formerly Entrezgene);Acc:837441],CRT1b
104414666,AT1G15690,1.274692209,0.338607357,0.001493917,Inorganic H pyrophosphatase family protein [Source:NCBI gene (formerly Entrezgene);Acc:838138],AVP1
104414674,AT1G18610,-1.016568273,0.3160492,0.008358494,Galactose oxidase/kelch repeat superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:838442],AT1G18610
104414700,AT5G06860,2.676800092,0.735942359,0.002293845,polygalacturonase inhibiting protein 1 [Source:NCBI gene (formerly Entrezgene);Acc:830577],PGIP1
104414703,AT5G66430,-2.394347566,0.406789339,1.27E-07,S-adenosyl-L-methionine-dependent methyltransferases superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:836775],AT5G66430
104414709,AT3G01970,1.488820591,0.406705233,0.002123228,WRKY DNA-binding protein 45 [Source:NCBI gene (formerly Entrezgene);Acc:821270],WRKY45
104414713,AT2G47610,1.119448701,0.25669112,0.000165781,Ribosomal protein L7Ae/L30e/S12e/Gadd45 family protein [Source:NCBI gene (formerly Entrezgene);Acc:819374],AT2G47610
104414716,AT5G41050,-1.858801596,0.370150909,9.76E-06,Pollen Ole e 1 allergen and extensin family protein [Source:NCBI gene (formerly Entrezgene);Acc:834107],AT5G41050
104414754,AT3G22830,1.169054956,0.425484563,0.029158259,heat shock transcription factor A6B [Source:NCBI gene (formerly Entrezgene);Acc:821854],HSFA6B
104414755,AT2G26400,8.847144936,1.710401333,4.79E-06,acireductone dioxygenase 3 [Source:NCBI gene (formerly Entrezgene);Acc:817180],ARD3
104414765,AT3G22790,-1.394601752,0.377110572,0.001879457,Kinase interacting (KIP1-like) family protein [Source:NCBI gene (formerly Entrezgene);Acc:821850],NET1A
104414777,AT3G22600,5.16853426,1.830559198,0.024145116,Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:821832],AT3G22600
104414797,AT3G22490,7.715522734,2.735258465,0.024306042,Seed maturation protein [Source:NCBI gene (formerly Entrezgene);Acc:821820],AT3G22490
104414803,AT4G03500,-1.243716562,0.317104305,0.000869405,Ankyrin repeat family protein [Source:NCBI gene (formerly Entrezgene);Acc:827731],AT4G03500
104414821,AT4G14930,1.211901074,0.273296951,0.000123784,Survival protein SurE-like phosphatase/nucleotidase [Source:NCBI gene (formerly Entrezgene);Acc:827151],AT4G14930
104414842,AT1G05370,-3.196159813,0.323827958,2.64E-20,Sec14p-like phosphatidylinositol transfer family protein [Source:NCBI gene (formerly Entrezgene);Acc:837038],AT1G05370
104414844,AT2G32120,2.662121359,0.354413068,5.66E-12,heat-shock protein 70T-2 [Source:NCBI gene (formerly Entrezgene);Acc:817771],HSP70T-2
104414850,AT5G19530,-1.92840188,0.338562155,3.52E-07,S-adenosyl-L-methionine-dependent methyltransferases superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:832073],ACL5
104414857,AT5G26330,-1.705600702,0.215969995,3.56E-13,Cupredoxin superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:832702],AT5G26330
104414867,AT1G47480,-1.355350562,0.274535306,1.43E-05,alpha/beta-Hydrolases superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:841155],AT1G47480
104414868,AT1G47480,-1.612732868,0.298713433,1.61E-06,alpha/beta-Hydrolases superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:841155],AT1G47480
104414878,AT5G19160,-1.586128074,0.629807896,0.049783657,TRICHOME BIREFRINGENCE-LIKE 11 [Source:NCBI gene (formerly Entrezgene);Acc:832036],TBL11
104414885,AT1G03220,2.209029903,0.82162198,0.03361457,Eukaryotic aspartyl protease family protein [Source:NCBI gene (formerly Entrezgene);Acc:838517],AT1G03220
104414892,AT5G27690,1.898144778,0.424454113,0.000106223,Heavy metal transport/detoxification superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:832831],AT5G27690
104414895,AT3G06130,2.358882014,0.426341642,8.26E-07,Heavy metal transport/detoxification superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:819786],AT3G06130
104414896,AT3G06145,-1.536663925,0.181812455,5.65E-15,RING zinc finger protein [Source:NCBI gene (formerly Entrezgene);Acc:819788],AT3G06145
104414933,AT5G18930,-1.755116433,0.453015757,0.001026349,Adenosylmethionine decarboxylase family protein [Source:NCBI gene (formerly Entrezgene);Acc:832011],BUD2
104414937,AT4G15530,-1.490612401,0.461069636,0.007969828,pyruvate orthophosphate dikinase [Source:NCBI gene (formerly Entrezgene);Acc:827226],PPDK
104414949,AT5G39340,-1.360598116,0.468180125,0.019581615,histidine-containing phosphotransmitter 3 [Source:NCBI gene (formerly Entrezgene);Acc:833930],AHP3
104414950,AT5G18860,1.577993213,0.510154158,0.011849112,inosine-uridine preferring nucleoside hydrolase family protein [Source:NCBI gene (formerly Entrezgene);Acc:832004],NSH3
104414952,AT5G18840,2.487073387,0.782076485,0.009273484,Major facilitator superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:832002],AT5G18840
104414988,AT5G18700,-1.790513315,0.368022995,1.96E-05,kinase family with ARM repeat domain-containing protein [Source:NCBI gene (formerly Entrezgene);Acc:831988],AT5G18700
104415032,AT1G08820,-1.243312843,0.199023505,1.69E-08,vamp/synaptobrevin-associated protein 27-2 [Source:NCBI gene (formerly Entrezgene);Acc:837404],VAP27-2
104415036,AT5G18670,1.461376928,0.298478112,1.71E-05,beta-amylase 3 [Source:NCBI gene (formerly Entrezgene);Acc:831985],BMY3
104415038,AT4G15563,1.006314861,0.2396926,0.000313475,F-box-like protein [Source:NCBI gene (formerly Entrezgene);Acc:827231],AT4G15563
104415079,AT5G06360,-1.505225279,0.492051625,0.013016622,Ribosomal protein S8e family protein [Source:NCBI gene (formerly Entrezgene);Acc:830524],AT5G06360
104415098,AT4G11650,6.85720973,0.418527712,1.17E-56,osmotin 34 [Source:NCBI gene (formerly Entrezgene);Acc:826770],OSM34
104415118,AT3G21420,2.326558464,0.887047072,0.03933492,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:821696],LBO1
104415142,AT4G15830,-1.811995563,0.232720836,8.06E-13,ARM repeat superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:827264],AT4G15830
104415145,AT5G54160,1.722526368,0.507461431,0.004933638,O-methyltransferase 1 [Source:NCBI gene (formerly Entrezgene);Acc:835504],OMT1
104415154,AT3G62830,2.503605165,0.562204542,0.000114555,NAD(P)-binding Rossmann-fold superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:825458],AUD1
104415163,AT5G49120,1.718522049,0.376126633,7.07E-05,"DUF581 family protein, putative (DUF581) [Source:NCBI gene (formerly Entrezgene);Acc:834971]",AT5G49120
104415170,AT3G06840,-1.737742068,0.377453089,6.13E-05,,AT3G06840
104415172,AT3G16730,-1.143992301,0.242154159,3.66E-05,condensin-2 complex subunit H2-like protein [Source:NCBI gene (formerly Entrezgene);Acc:820925],HEB2
104415175,AT3G16770,2.409107083,0.415769954,2.07E-07,ethylene-responsive element binding protein [Source:NCBI gene (formerly Entrezgene);Acc:820929],EBP
104415214,AT4G16120,-2.279401169,0.437015632,3.90E-06,COBRA-like protein-7 [Source:NCBI gene (formerly Entrezgene);Acc:827298],COBL7
104415224,AT3G16920,-1.651291981,0.219348931,5.08E-12,chitinase-like protein [Source:NCBI gene (formerly Entrezgene);Acc:820947],CTL2
104415230,AT3G62420,2.370218135,0.484195948,1.72E-05,basic region/leucine zipper motif 53 [Source:NCBI gene (formerly Entrezgene);Acc:825415],BZIP53
104415231,AT3G17030,-1.688142993,0.467092179,0.002471065,Nucleic acid-binding proteins superfamily [Source:NCBI gene (formerly Entrezgene);Acc:820959],AT3G17030
104415233,AT1G22900,-2.400402957,0.92825412,0.04290612,Disease resistance-responsive (dirigent-like protein) family protein [Source:NCBI gene (formerly Entrezgene);Acc:838897],AT1G22900
104415234,AT3G06650,-1.307463267,0.220165432,9.49E-08,ATP-citrate lyase B-1 [Source:NCBI gene (formerly Entrezgene);Acc:819845],ACLB-1
104415262,AT5G49620,1.45554186,0.455492138,0.008876301,myb domain protein 78 [Source:NCBI gene (formerly Entrezgene);Acc:835024],MYB78
104415271,AT1G48100,-1.830466846,0.416118275,0.000142526,Pectin lyase-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:841228],AT1G48100
104415284,AT3G17360,-2.092644384,0.375304134,6.64E-07,phragmoplast orienting kinesin 1 [Source:NCBI gene (formerly Entrezgene);Acc:820999],POK1
104415291,AT1G56720,-1.232555652,0.190290882,4.45E-09,Protein kinase superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:842128],AT1G56720
104415313,AT3G17600,-1.626596954,0.326429255,1.16E-05,indole-3-acetic acid inducible 31 [Source:NCBI gene (formerly Entrezgene);Acc:821026],IAA31
104415341,AT3G05950,2.433573304,0.831981927,0.018639976,RmlC-like cupins superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:819765],AT3G05950
104415342,AT5G39160,2.66177834,0.884765143,0.014917279,RmlC-like cupins superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:833910],AT5G39160
104415360,AT5G44040,-2.209139493,0.301198657,1.89E-11,eisosome SEG2-like protein [Source:NCBI gene (formerly Entrezgene);Acc:834427],AT5G44040
104415388,AT5G16360,1.176894077,0.34446005,0.00460438,NC domain-containing protein-like protein [Source:NCBI gene (formerly Entrezgene);Acc:831497],AT5G16360
104415389,AT5G16360,-1.542047241,0.501427676,0.012450111,NC domain-containing protein-like protein [Source:NCBI gene (formerly Entrezgene);Acc:831497],AT5G16360
104415416,AT2G17220,-2.346996633,0.583184232,0.000599732,Protein kinase superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:816227],Kin3
104415425,AT1G47530,-1.295539895,0.211833231,3.55E-08,MATE efflux family protein [Source:NCBI gene (formerly Entrezgene);Acc:841162],AT1G47530
104415433,AT5G28840,-1.494397986,0.34424896,0.000179284,"GDP-D-mannose 3',5'-epimerase [Source:NCBI gene (formerly Entrezgene);Acc:833002]",GME
104415461,AT3G04810,-1.443607332,0.346855055,0.000359983,NIMA-related kinase 2 [Source:NCBI gene (formerly Entrezgene);Acc:819641],NEK2
104415462,AT5G28300,1.009699533,0.249804037,0.000563348,Duplicated homeodomain-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:832914],AT5G28300
104415469,AT4G14880,1.201642257,0.457093665,0.038832105,O-acetylserine (thiol) lyase (OAS-TL)  [Source:NCBI gene (formerly Entrezgene);Acc:827145],OASA1
104415471,AT3G22560,1.455404898,0.563545341,0.043216165,Acyl-CoA N-acyltransferases (NAT) superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:821828],AT3G22560
104415474,AT2G43750,1.321381912,0.312155467,0.000274676,O-acetylserine (thiol) lyase B [Source:NCBI gene (formerly Entrezgene);Acc:818978],OASB
104415497,AT4G08630,-1.133135413,0.341685779,0.006235243,fas-binding factor-like protein [Source:NCBI gene (formerly Entrezgene);Acc:826428],AT4G08630
104415502,AT3G06350,-2.206608979,0.294027914,5.93E-12,"dehydroquinate dehydratase, putative / shikimate dehydrogenase [Source:NCBI gene (formerly Entrezgene);Acc:819809]",MEE32
104415503,AT3G06350,-1.546614112,0.231789642,1.37E-09,"dehydroquinate dehydratase, putative / shikimate dehydrogenase [Source:NCBI gene (formerly Entrezgene);Acc:819809]",MEE32
104415531,AT1G54790,-1.363773079,0.234870587,1.94E-07,GDSL-like Lipase/Acylhydrolase superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:841920],AT1G54790
104415534,AT1G72210,-1.03631453,0.183108329,4.27E-07,basic helix-loop-helix (bHLH) DNA-binding superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:843553],AT1G72210
104415541,AT1G08970,-1.067697224,0.233601263,7.03E-05,"nuclear factor Y, subunit C9 [Source:NCBI gene (formerly Entrezgene);Acc:837417]",NF-YC9
104415544,AT5G64330,4.649719951,1.088130444,0.00023566,Phototropic-responsive NPH3 family protein [Source:NCBI gene (formerly Entrezgene);Acc:836554],NPH3
104415564,AT3G22400,1.307808909,0.437658766,0.015755827,PLAT/LH2 domain-containing lipoxygenase family protein [Source:NCBI gene (formerly Entrezgene);Acc:821808],LOX5
104415568,AT2G45680,1.793527352,0.420207989,0.00023938,TCP family transcription factor [Source:NCBI gene (formerly Entrezgene);Acc:819176],TCP9
104415570,AT5G27670,-1.583872884,0.281099898,4.88E-07,histone H2A 7 [Source:NCBI gene (formerly Entrezgene);Acc:832829],HTA7
104415607,AT5G03980,-1.10095694,0.255279144,0.000201847,SGNH hydrolase-type esterase superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:830277],AT5G03980
104415636,AT5G51550,-1.944433305,0.338851216,2.82E-07,EXORDIUM like 3 [Source:NCBI gene (formerly Entrezgene);Acc:835229],EXL3
104415653,AT5G14070,-2.476263147,0.496450376,1.14E-05,Thioredoxin superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:831256],ROXY2
104415654,AT5G13140,-1.581421477,0.293882616,1.76E-06,Pollen Ole e 1 allergen and extensin family protein [Source:NCBI gene (formerly Entrezgene);Acc:831153],AT5G13140
104415662,AT1G67320,-2.16094625,0.496525396,0.000171638,"DNA primase, large subunit family [Source:NCBI gene (formerly Entrezgene);Acc:843052]",EMB2813
104415688,AT1G67980,-1.115340185,0.319457168,0.003639464,caffeoyl-CoA 3-O-methyltransferase [Source:NCBI gene (formerly Entrezgene);Acc:843126],CCOAMT
104415695,AT1G67510,-1.235805155,0.335967113,0.002004257,Leucine-rich repeat protein kinase family protein [Source:NCBI gene (formerly Entrezgene);Acc:843072],AT1G67510
104415707,AT1G24360,-1.561865223,0.39019836,0.000649546,NAD(P)-binding Rossmann-fold superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:839053],AT1G24360
104415724,AT4G27670,3.211765793,0.446010403,4.60E-11,heat shock protein 21 [Source:NCBI gene (formerly Entrezgene);Acc:828881],HSP21
104415738,AT5G10520,-1.23201747,0.346675578,0.002992009,ROP binding protein kinases 1 [Source:NCBI gene (formerly Entrezgene);Acc:830917],RBK1
104415751,AT5G65380,7.857600831,1.295770936,4.75E-08,MATE efflux family protein [Source:NCBI gene (formerly Entrezgene);Acc:836663],AT5G65380
104415752,AT4G40080,1.295372403,0.295338821,0.000150028,ENTH/ANTH/VHS superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:830171],AT4G40080
104415764,AT2G22420,1.300440725,0.380722979,0.004614737,Peroxidase superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:816773],AT2G22420
104415769,AT5G10310,-2.41985472,0.665173445,0.002288394,EPIDERMAL PATTERNING FACTOR-like protein [Source:NCBI gene (formerly Entrezgene);Acc:830895],AT5G10310
104415771,AT4G39970,-1.478325747,0.268510579,9.48E-07,Haloacid dehalogenase-like hydrolase (HAD) superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:830158],AT4G39970
104415774,AT1G22360,1.850557035,0.439940967,0.000304345,UDP-glucosyl transferase 85A2 [Source:NCBI gene (formerly Entrezgene);Acc:838843],UGT85A2
104415785,AT4G39900,-1.714107627,0.219173198,6.28E-13,adenine deaminase [Source:NCBI gene (formerly Entrezgene);Acc:830149],AT4G39900
104415791,AT1G35720,-1.699280458,0.21891789,9.50E-13,annexin 1 [Source:NCBI gene (formerly Entrezgene);Acc:840476],ANNAT1
104415792,AT5G10220,-1.420731222,0.202967999,1.80E-10,annexin 6 [Source:NCBI gene (formerly Entrezgene);Acc:830886],ANN6
104415800,AT5G10190,-1.139942383,0.232232473,1.63E-05,Major facilitator superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:830883],AT5G10190
104415807,AT5G10110,-1.746508863,0.27406977,8.23E-09,DNA-directed RNA polymerase subunit beta [Source:NCBI gene (formerly Entrezgene);Acc:830875],AT5G10110
104415811,AT1G78020,-1.364497049,0.220209644,2.24E-08,"senescence-associated family protein, putative (DUF581) [Source:NCBI gene (formerly Entrezgene);Acc:844137]",AT1G78020
104415812,AT2G22240,2.717541293,0.797757111,0.00474679,myo-inositol-1-phosphate synthase 2 [Source:NCBI gene (formerly Entrezgene);Acc:816757],MIPS2
104415850,AT2G21790,-1.171806807,0.255902408,6.79E-05,ribonucleotide reductase 1 [Source:NCBI gene (formerly Entrezgene);Acc:816715],RNR1
104415855,AT5G65360,-2.957509275,0.29926048,2.37E-20,Histone superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:836661],AT5G65360
104415857,AT5G65360,-2.911195858,0.247852867,8.07E-29,Histone superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:836661],AT5G65360
104415866,AT5G24080,2.416557722,0.593977812,0.000512699,Protein kinase superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:832473],AT5G24080
104415868,AT3G18730,-1.93514579,0.284455747,6.22E-10,tetratricopeptide repeat (TPR)-containing protein [Source:NCBI gene (formerly Entrezgene);Acc:821404],TSK
104415870,AT5G09360,-3.316096563,0.461231733,4.99E-11,laccase 14 [Source:NCBI gene (formerly Entrezgene);Acc:830795],LAC14
104415874,AT3G18660,-1.640604337,0.356196883,6.08E-05,plant glycogenin-like starch initiation protein 1 [Source:NCBI gene (formerly Entrezgene);Acc:821397],PGSIP1
104415883,AT5G64630,-1.211947309,0.243433387,1.19E-05,Transducin/WD40 repeat-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:836584],FAS2
104415916,AT2G17290,-2.000778485,0.234686361,3.12E-15,Calcium-dependent protein kinase family protein [Source:NCBI gene (formerly Entrezgene);Acc:816235],CPK6
104415921,AT4G35320,-1.40209454,0.238291456,1.28E-07,,AT4G35320
104415923,AT4G38210,-1.372186244,0.26894165,6.69E-06,expansin A20 [Source:NCBI gene (formerly Entrezgene);Acc:829977],EXPA20
104415949,AT2G40980,-1.155943904,0.41676458,0.027348512,Protein kinase superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:818698],AT2G40980
104415967,AT2G03200,-1.833903038,0.250947405,2.23E-11,Eukaryotic aspartyl protease family protein [Source:NCBI gene (formerly Entrezgene);Acc:814849],AT2G03200
104415971,AT3G05270,-1.091831572,0.240314172,7.91E-05,filament-like protein (DUF869) [Source:NCBI gene (formerly Entrezgene);Acc:819691],AT3G05270
104415975,AT3G14880,2.487087606,0.407895267,3.95E-08,transcription factor-like protein [Source:NCBI gene (formerly Entrezgene);Acc:820717],AT3G14880
104415991,AT5G63850,-1.055256853,0.344514994,0.012889236,amino acid permease 4 [Source:NCBI gene (formerly Entrezgene);Acc:836505],AAP4
104416017,AT5G63920,-1.125249769,0.287889753,0.000911062,topoisomerase 3alpha [Source:NCBI gene (formerly Entrezgene);Acc:836513],TOP3A
104416020,AT5G63950,-1.328937274,0.319616945,0.000364855,chromatin remodeling 24 [Source:NCBI gene (formerly Entrezgene);Acc:836516],CHR24
104416072,AT2G35050,-5.373050238,1.13082118,3.26E-05,kinase superfamily with octicosapeptide/Phox/Bem1p domain-containing protein [Source:NCBI gene (formerly Entrezgene);Acc:818070],AT2G35050
104416097,AT2G29420,-1.364458168,0.471478665,0.020215157,glutathione S-transferase tau 7 [Source:NCBI gene (formerly Entrezgene);Acc:817491],GSTU7
104416110,AT4G18780,2.067886444,0.540228434,0.001203301,cellulose synthase family protein [Source:NCBI gene (formerly Entrezgene);Acc:827612],IRX1
104416113,AT3G01680,-2.947717381,1.158358281,0.04700565,sieve element occlusion amino-terminus protein [Source:NCBI gene (formerly Entrezgene);Acc:821097],SEOR1
104416166,AT3G59400,-1.026331438,0.393821638,0.040891348,protein GENOMES UNCOUPLED 4 [Source:NCBI gene (formerly Entrezgene);Acc:825109],GUN4
104416169,AT1G22440,-2.242195911,0.732606363,0.012965328,Zinc-binding alcohol dehydrogenase family protein [Source:NCBI gene (formerly Entrezgene);Acc:838850],AT1G22440
